area_code,area_name_english,area_name_japanese,population,median_age,state_code,state_name,state_name_japanese,area_name_japanese_wo_state
01363,Hokkaido Assabu-cho,北海道 厚沢部町,3592,60.4,01,hokkaido,北海道,厚沢部町
01364,Hokkaido Otobe-cho,北海道 乙部町,3403,61.8,01,hokkaido,北海道,乙部町
01367,Hokkaido Okushiri-cho,北海道 奥尻町,2410,59.7,01,hokkaido,北海道,奥尻町
01370,Hokkaido Imakane-cho,北海道 今金町,5072,58.6,01,hokkaido,北海道,今金町
01371,Hokkaido Setana-cho,北海道 せたな町,7398,63.0,01,hokkaido,北海道,せたな町
01391,Hokkaido Shimamaki-mura,北海道 島牧村,1356,58.8,01,hokkaido,北海道,島牧村
01392,Hokkaido Suttsu-cho,北海道 寿都町,2838,58.5,01,hokkaido,北海道,寿都町
01393,Hokkaido Kuromatsunai-cho,北海道 黒松内町,2791,57.7,01,hokkaido,北海道,黒松内町
01394,Hokkaido Rankoshi-cho,北海道 蘭越町,4568,58.5,01,hokkaido,北海道,蘭越町
01395,Hokkaido Niseko-cho,北海道 ニセコ町,5074,48.7,01,hokkaido,北海道,ニセコ町
01396,Hokkaido Makkari-mura,北海道 真狩村,2045,53.2,01,hokkaido,北海道,真狩村
01397,Hokkaido Rusutsu-mura,北海道 留寿都村,1911,46.7,01,hokkaido,北海道,留寿都村
01398,Hokkaido Kimobetsu-cho,北海道 喜茂別町,2156,57.4,01,hokkaido,北海道,喜茂別町
01399,Hokkaido Kyogoku-cho,北海道 京極町,2941,55.9,01,hokkaido,北海道,京極町
01400,Hokkaido Kutchan-cho,北海道 倶知安町,15129,46.6,01,hokkaido,北海道,倶知安町
01401,Hokkaido Kyowa-cho,北海道 共和町,5772,52.3,01,hokkaido,北海道,共和町
01402,Hokkaido Iwanai-cho,北海道 岩内町,11648,56.2,01,hokkaido,北海道,岩内町
01403,Hokkaido Tomari-mura,北海道 泊村,1569,56.9,01,hokkaido,北海道,泊村
01404,Hokkaido Kamoenai-mura,北海道 神恵内村,870,65.8,01,hokkaido,北海道,神恵内村
01405,Hokkaido Shakotan-cho,北海道 積丹町,1831,62.9,01,hokkaido,北海道,積丹町
01406,Hokkaido Furubira-cho,北海道 古平町,2745,60.7,01,hokkaido,北海道,古平町
01407,Hokkaido Niki-cho,北海道 仁木町,3180,57.7,01,hokkaido,北海道,仁木町
01408,Hokkaido Yoichi-cho,北海道 余市町,18000,57.8,01,hokkaido,北海道,余市町
01409,Hokkaido Akaigawa-mura,北海道 赤井川村,1165,50.0,01,hokkaido,北海道,赤井川村
01423,Hokkaido Nanporo-cho,北海道 南幌町,7319,57.1,01,hokkaido,北海道,南幌町
01424,Hokkaido Naie-cho,北海道 奈井江町,5120,59.9,01,hokkaido,北海道,奈井江町
01425,Hokkaido Kamisunagawa-cho,北海道 上砂川町,2841,65.9,01,hokkaido,北海道,上砂川町
01427,Hokkaido Yuni-cho,北海道 由仁町,4822,60.1,01,hokkaido,北海道,由仁町
01428,Hokkaido Naganuma-cho,北海道 長沼町,10289,57.3,01,hokkaido,北海道,長沼町
01429,Hokkaido Kuriyama-cho,北海道 栗山町,11272,58.1,01,hokkaido,北海道,栗山町
01430,Hokkaido Tsukigata-cho,北海道 月形町,3691,56.5,01,hokkaido,北海道,月形町
01431,Hokkaido Urausu-cho,北海道 浦臼町,1732,61.2,01,hokkaido,北海道,浦臼町
01432,Hokkaido Shintotsukawa-cho,北海道 新十津川町,6484,58.4,01,hokkaido,北海道,新十津川町
01433,Hokkaido Moseushi-cho,北海道 妹背牛町,2693,63.3,01,hokkaido,北海道,妹背牛町
01434,Hokkaido Chippubetsu-cho,北海道 秩父別町,2329,60.1,01,hokkaido,北海道,秩父別町
01436,Hokkaido Uryu-cho,北海道 雨竜町,2389,58.8,01,hokkaido,北海道,雨竜町
01437,Hokkaido Hokuryu-cho,北海道 北竜町,1724,61.9,01,hokkaido,北海道,北竜町
01438,Hokkaido Numata-cho,北海道 沼田町,2909,60.0,01,hokkaido,北海道,沼田町
01452,Hokkaido Takasu-cho,北海道 鷹栖町,6567,53.5,01,hokkaido,北海道,鷹栖町
01453,Hokkaido Higashikagura-cho,北海道 東神楽町,10127,49.6,01,hokkaido,北海道,東神楽町
01454,Hokkaido Tohma-cho,北海道 当麻町,6319,59.3,01,hokkaido,北海道,当麻町
01455,Hokkaido Pippu-cho,北海道 比布町,3520,59.2,01,hokkaido,北海道,比布町
01456,Hokkaido Aibetsu-cho,北海道 愛別町,2605,62.5,01,hokkaido,北海道,愛別町
01457,Hokkaido Kamikawa-cho,北海道 上川町,3500,60.8,01,hokkaido,北海道,上川町
01458,Hokkaido Higashikawa-cho,北海道 東川町,8314,50.2,01,hokkaido,北海道,東川町
01459,Hokkaido Biei-cho,北海道 美瑛町,9668,56.5,01,hokkaido,北海道,美瑛町
01460,Hokkaido Kamifurano-cho,北海道 上富良野町,10348,50.3,01,hokkaido,北海道,上富良野町
01461,Hokkaido Nakafurano-cho,北海道 中富良野町,4733,55.4,01,hokkaido,北海道,中富良野町
01462,Hokkaido Minamifurano-cho,北海道 南富良野町,2376,52.2,01,hokkaido,北海道,南富良野町
01463,Hokkaido Shimukappu-mura,北海道 占冠村,1306,46.2,01,hokkaido,北海道,占冠村
01464,Hokkaido Wassamu-cho,北海道 和寒町,3192,61.1,01,hokkaido,北海道,和寒町
01465,Hokkaido Kembuchi-cho,北海道 剣淵町,2926,59.2,01,hokkaido,北海道,剣淵町
01468,Hokkaido Shimokawa-cho,北海道 下川町,3126,57.8,01,hokkaido,北海道,下川町
01469,Hokkaido Bifuka-cho,北海道 美深町,4145,58.2,01,hokkaido,北海道,美深町
01470,Hokkaido Otoineppu-mura,北海道 音威子府村,706,48.9,01,hokkaido,北海道,音威子府村
01471,Hokkaido Nakagawa-cho,北海道 中川町,1528,58.5,01,hokkaido,北海道,中川町
01472,Hokkaido Horokanai-cho,北海道 幌加内町,1370,57.3,01,hokkaido,北海道,幌加内町
01481,Hokkaido Mashike-cho,北海道 増毛町,3908,60.5,01,hokkaido,北海道,増毛町
01482,Hokkaido Obira-cho,北海道 小平町,2994,57.9,01,hokkaido,北海道,小平町
01483,Hokkaido Tomamae-cho,北海道 苫前町,2936,57.8,01,hokkaido,北海道,苫前町
01484,Hokkaido Haboro-cho,北海道 羽幌町,6548,59.8,01,hokkaido,北海道,羽幌町
01485,Hokkaido Shosambetsu-mura,北海道 初山別村,1080,58.8,01,hokkaido,北海道,初山別村
01486,Hokkaido Embetsu-cho,北海道 遠別町,2520,59.0,01,hokkaido,北海道,遠別町
01487,Hokkaido Teshio-cho,北海道 天塩町,2950,56.7,01,hokkaido,北海道,天塩町
01511,Hokkaido Sarufutsu-mura,北海道 猿払村,2611,46.0,01,hokkaido,北海道,猿払村
01512,Hokkaido Hamatombetsu-cho,北海道 浜頓別町,3448,55.6,01,hokkaido,北海道,浜頓別町
01513,Hokkaido Nakatombetsu-cho,北海道 中頓別町,1637,57.1,01,hokkaido,北海道,中頓別町
01514,Hokkaido Esashi-cho,北海道 枝幸町,7565,54.7,01,hokkaido,北海道,枝幸町
01516,Hokkaido Toyotomi-cho,北海道 豊富町,3974,55.4,01,hokkaido,北海道,豊富町
01517,Hokkaido Rebun-cho,北海道 礼文町,2509,55.7,01,hokkaido,北海道,礼文町
01518,Hokkaido Rishiri-cho,北海道 利尻町,2004,57.7,01,hokkaido,北海道,利尻町
01519,Hokkaido Rishirifuji-cho,北海道 利尻富士町,2458,57.4,01,hokkaido,北海道,利尻富士町
01520,Hokkaido Horonobe-cho,北海道 幌延町,2371,50.4,01,hokkaido,北海道,幌延町
01543,Hokkaido Bihoro-cho,北海道 美幌町,18697,55.3,01,hokkaido,北海道,美幌町
01544,Hokkaido Tsubetsu-cho,北海道 津別町,4373,62.0,01,hokkaido,北海道,津別町
01545,Hokkaido Shari-cho,北海道 斜里町,11418,52.5,01,hokkaido,北海道,斜里町
01546,Hokkaido Kiyosato-cho,北海道 清里町,3883,57.2,01,hokkaido,北海道,清里町
01547,Hokkaido Koshimizu-cho,北海道 小清水町,4623,56.7,01,hokkaido,北海道,小清水町
01549,Hokkaido Kunneppu-cho,北海道 訓子府町,4677,57.8,01,hokkaido,北海道,訓子府町
01550,Hokkaido Oketo-cho,北海道 置戸町,2775,61.1,01,hokkaido,北海道,置戸町
01552,Hokkaido Saroma-cho,北海道 佐呂間町,4875,56.8,01,hokkaido,北海道,佐呂間町
01555,Hokkaido Engaru-cho,北海道 遠軽町,19241,56.2,01,hokkaido,北海道,遠軽町
01559,Hokkaido Yubetsu-cho,北海道 湧別町,8270,57.6,01,hokkaido,北海道,湧別町
01560,Hokkaido Takinoue-cho,北海道 滝上町,2421,61.5,01,hokkaido,北海道,滝上町
01561,Hokkaido Okoppe-cho,北海道 興部町,3628,52.8,01,hokkaido,北海道,興部町
01562,Hokkaido Nishiokoppe-mura,北海道 西興部村,1053,54.7,01,hokkaido,北海道,西興部村
01563,Hokkaido Omu-cho,北海道 雄武町,4199,53.2,01,hokkaido,北海道,雄武町
01564,Hokkaido Ozora-cho,北海道 大空町,6775,56.1,01,hokkaido,北海道,大空町
01571,Hokkaido Toyoura-cho,北海道 豊浦町,3821,57.1,01,hokkaido,北海道,豊浦町
01575,Hokkaido Sobetsu-cho,北海道 壮瞥町,2743,61.7,01,hokkaido,北海道,壮瞥町
01578,Hokkaido Shiraoi-cho,北海道 白老町,16212,62.1,01,hokkaido,北海道,白老町
01581,Hokkaido Atsuma-cho,北海道 厚真町,4432,54.7,01,hokkaido,北海道,厚真町
01584,Hokkaido Toyako-cho,北海道 洞爺湖町,8442,60.7,01,hokkaido,北海道,洞爺湖町
01585,Hokkaido Abira-cho,北海道 安平町,7340,55.3,01,hokkaido,北海道,安平町
01586,Hokkaido Mukawa-cho,北海道 むかわ町,7651,58.8,01,hokkaido,北海道,むかわ町
01601,Hokkaido Hidaka-cho,北海道 日高町,11279,54.3,01,hokkaido,北海道,日高町
01602,Hokkaido Biratori-cho,北海道 平取町,4776,54.6,01,hokkaido,北海道,平取町
01604,Hokkaido Niikappu-cho,北海道 新冠町,5309,51.5,01,hokkaido,北海道,新冠町
01607,Hokkaido Urakawa-cho,北海道 浦河町,12074,53.1,01,hokkaido,北海道,浦河町
01608,Hokkaido Samani-cho,北海道 様似町,4043,59.7,01,hokkaido,北海道,様似町
01609,Hokkaido Erimo-cho,北海道 えりも町,4374,52.3,01,hokkaido,北海道,えりも町
01610,Hokkaido Shinhidaka-cho,北海道 新ひだか町,21517,53.9,01,hokkaido,北海道,新ひだか町
01631,Hokkaido Otofuke-cho,北海道 音更町,43576,49.7,01,hokkaido,北海道,音更町
01632,Hokkaido Shihoro-cho,北海道 士幌町,5848,52.1,01,hokkaido,北海道,士幌町
01633,Hokkaido Kamishihoro-cho,北海道 上士幌町,4778,53.1,01,hokkaido,北海道,上士幌町
01634,Hokkaido Shikaoi-cho,北海道 鹿追町,5266,48.6,01,hokkaido,北海道,鹿追町
